RegionName,Latitude,Longitude,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
Seattle,47.6062,-122.3321,405000,399950,398950,395000,399250,399800,398950,389800,385000,379950,379000,374950,359950,355000,359000,359000,360000,365000,364999,360000,362000,349950,345000,335000,334950,339950,350000,375000,395000,399900,399000,395000,399950,399850,399000,395000,388000,398400,404000,416800,425000,429000,429000,425000,424950,425000,425000,419000,410000,415000,419950,429000,429950,450000,455000,448844,450000,450000,449950,450000,449000,450000,479000,479500,480000,495000,499000,499500,5E+05,519250,525000,529970,529950,539950,550000,565000,575000,575000,584950,575000,589000,595000,599000,599000,599000,599950,615000,625000,645000,650000,655000,649950,649000,679950,679250,688000,695000,699000,725000,719950,735000,725000,725000,7E+05,699950,699950,699000,689900,678750,685000,699500
Renton,47.4797,-122.2079,315000,309950,309950,309950,304900,299950,295979,299400,289990,280000,279900,274925,259950,259000,255000,249900,249950,249970,249950,250000,249950,249888,240000,250000,249950,250000,275000,279950,280000,284900,289950,289950,289000,279950,280000,279950,289950,295950,299000,317394,340000,349950,343000,339950,339925,336900,325000,334975,350000,350000,354900,359900,359950,360000,370000,369450,359950,357000,359925,349000,365000,359950,359000,354500,350000,352498.5,365000,370000,379950,369950,374950,375000,385000,389000,390000,396950,4E+05,4E+05,402500,399950,399900,399998,4E+05,407950,409000,414999,419850,423000,434950,440000,440000,439970,439000,450000,456000,459950,459950,469475,487497.5,514967,5E+05,514983,520000,524725,529050.5,529950,540000,559950,569000,574950,579000
Bellevue,47.6101,-122.2015,582499.5,534750,525000,525000,528350,543000,544000,549250,529000,519000,524925,509499.5,499650,499000,499000,502000,5E+05,499500,498400,499000,480000,449900,428950,409000,425000,450000,499000,528942.5,575000,569000,579875,575000,525000,535000,549950,548500,563350,631995,6E+05,625000,609000,618000,647000,625000,627000,625000,625000,639999,656500,630000,654000,675000,694000,7E+05,699000,689950,675000,649950,628000,624900,639900,652500,685000,682475,7E+05,728000,720000,699950,685000,699950,7E+05,738000,750000,750000,750000,795000,798888,796375,795000,785000,786500,786500,795000,797000,849925,908477,877500,898000,9E+05,917477.5,898000,899900,924925,939900,949000,9E+05,938000,949999.5,957500,995000,998650,1002000,999995,971600,928444,928975,938000,915000,938000,950000,998000
Bothell,47.7601,-122.2054,344950,344972.5,337000,329950,329999,329950,329900,330000,325475,324900,318000,307000,310837,313000,3E+05,299950,299000,299000,299000,3E+05,309990,309950,319950,309970,315000,319000,319970,324900,320727.5,329950,335000,334925,335425,339975,359000,351875,359950,359000,369950,364999.5,379000,381950,387750,375000,375000,384975,389950,399828.5,409950,415000,417950,434900,434950,439000,439450,439925,449950,456900,459500,449000,457400,449700,449925,455550,459950,461202.5,469925,479992.5,487950,480000,479950,479990,494950,499990,499950,499970,498000,499250,5E+05,5E+05,509950,528475,550000,555000,579000,592492.5,597750,564925,574975,594990,597750,585000,6E+05,625000,639103,636750,685495,699000,679950,675000,665000,665000,675000,674995,669975,674950,650000,679475,688000,689950,685000
Redmond,47.674,-122.1215,478700,475000,490000,489900,499900,499990,489990,485000,475000,459895,465000,459000,434900,445000,439995,437319,439000,439888,449950,457000,450000,443749.5,439950,425000,405000,425000,450000,510990,509995,548000,548995,540000,535000,535000,550000,558995,552197,579200,599974.5,599950,618497.5,620950,605950,599000,610470,599000,560000,548475,565000,622490,614445,649990,649800,649950,644500,622950,619970,630222.5,614925,599950,599500,598500,595000,643950,650000,666447.5,649950,649700,630000,625997.5,644900,635000,666995,668447.5,699950,699950,729975,719500,699950,7E+05,7E+05,715000,735000,725000,699999,657475,675000,7E+05,725000,715000,7E+05,725000,705000,742425,739000,697950,748250,747500,775000,834750,850000,850000,850000,857475,829950,839500,825000,799000,839250,843950,867500
Lynnwood,47.8209,-122.3151,299950,299000,296475,289950,284970,280000,274950,269974.5,265475,259950,259000,250000,249950,250000,243540,231975,224950,224950,223950,219950,219500,220000,234900,229000,219950,225000,234900,249950,254950,259900,259975,255000,259950,265000,269450,265000,275000,304925,322000,299925,319995,324950,310000,309450,299995,312129,319950,320000,325000,325000,329950,324950,327495,339995,339950,339975,339950,342475,349975,335000,339950,329950,344950,349950,358950,369900,369250,370000,369950,354974.5,350000,358000,354500,365000,374900,379900,386200,399450,399950,398000,395000,375000,392000,380000,379950,399950,399990,419950,425000,419950,425000,425000,430000,450000,488000,499950,504950,5E+05,519975,520000,517757,499950,499950,498000,498500,494900,495000,499000,499000,495000,499000
Kirkland,47.6769,-122.206,486500,489500,490000,469500,454000,459925,469500,459000,442500,439000,429925,439000,399920,393992,384900,399975,394950,379725,383900,377944,365000,348750,336000,335000,329000,349000,365000,390550,425000,449900,459950,465600,469000,450000,449997,439950,435000,457302,498000,499974.5,525000,522120,519000,509950,506975,499000,554500,575000,579950,579900,559900,554995,531975,555000,550000,549000,520000,499950,475000,459900,5E+05,569500,584450,599950,589450,579750,568200,575000,589950,599000,634500,649000,698000,701500,675000,639000,669950,692000,677500,650000,699888,699444,699900,699450,699000,694500,729500,740000,750000,750000,717500,699990,714900,8E+05,8E+05,874800,849999.5,890000,872500,887875,875000,875000,844500,835000,785000,795000,799250,799500,835000,860000,840000
Sammamish,47.6163,-122.0356,539950,552500,555950,550000,559884,572000,559000,550000,550000,549000,549000,539950,549950,559975,549950,550000,550000,549925,544500,530000,525000,534975,525000,534500,555000,559000,572500,566750,589950,588000,589000,581370,580185,575000,565000,564950,561450,594950,624500,634970,635000,649950,659000,672500,675000,699900,734995,739995,789995,797950,749950,719925,7E+05,699950,7E+05,699900,7E+05,725000,762500,779450,818000,839980,789900,759900,739975,738950,735000,729000,738000,739900,750250,799925,799450,739900,729950,785000,838888,835000,849500,849500,850000,873995,925000,923995,935995,929000,910000,910000,899950,885000,889000,879950,925000,966990,1010000,1078950,1101497.5,1027995,1075000,1090995,1098000,1089997.5,1097000,1100000,1096495,1089997.5,1110995,1145000,1186495,1147497.5,1079000
Shoreline,47.756,-122.3457,335000,331475,329500,325000,325000,329250,324725,319922,312495,299950,299950,299500,289900,287000,280000,274900,274900,274950,271975,269974.5,267000,257500,254500,254000,232000,249500,250000,269950,279975,299000,299000,299900,292475,299000,275000,285000,275000,295000,290000,309900,342425,334900,337475,339950,335000,329000,319950,324925,315000,319150,349900,349974.5,349999.5,349950,355475,359950,350000,362400,357475,364800,375000,375000,385000,372500,389950,405000,399887,402500,405000,389975,389000,399900,414975,390000,419925,429000,429000,454975,440474.5,442950,450000,465000,490000,490000,468500,469642,494500,499950,5E+05,525000,535000,560475,550000,579769,619975,599725,614995,599000,625000,625000,625000,625000,624950,624950,620000,623999.5,615000,599975,599950,619975,626944
