RegionName,Latitude,Longitude,2010_Q1,2010_Q2,2010_Q3,2010_Q4,2011_Q1,2011_Q2,2011_Q3,2011_Q4,2012_Q1,2012_Q2,2012_Q3,2012_Q4,2013_Q1,2013_Q2, 2013_Q3,2013_Q4,2014_Q1,2014_Q2, 2014_Q3,2014_Q4,2015_Q1,2015_Q2, 2015_Q3,2015_Q4,2016_Q1,2016_Q2,2016_Q3,2016_Q4,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4
Seattle,47.6062,-122.3321,401300,398016.666666667,391250,377966.666666667,357983.333333333,361333.333333333,362333,343316.666666667,341633.333333333,389966.666666667,397983.333333333,397950,396800,423600,426316.666666667,423000,414983.333333333,436316.666666667,451281.333333333,449983.333333333,459333.333333333,484833.333333333,499500,524740,539966.666666667,571666.666666667,582983.333333333,597666.666666667,604650,640000,651316.666666667,682400,706333.333333333,726650,708316.666666667,696283.333333333
Renton,47.4797,-122.2079,311633.333333333,304933.333333333,295123,278275,257983.333333333,249940,249966.666666667,246629.333333333,258316.666666667,281616.666666667,289633.333333333,279966.666666667,294966.666666667,335781.333333333,340958.333333333,332291.666666667,351633.333333333,359950,366466.666666667,355308.333333333,361316.666666667,352332.833333333,371650,373300,388000,398983.333333333,400783.333333333,402649.333333333,414616.333333333,432650,439656.666666667,455316.666666667,472307.5,509983.333333333,524591.833333333,543300
Bellevue,47.6101,-122.2015,547416.5,532116.666666667,540750,517808.166666667,499216.666666667,500500,492466.666666667,429283.333333333,458000,557647.5,559958.333333333,544483.333333333,598448.333333333,617333.333333333,633000,629999.666666667,646833.333333333,689666.666666667,687983.333333333,634283.333333333,659133.333333333,703491.666666667,701650,712650,750000,796754.333333333,788833.333333333,792833.333333333,878634,905159.166666667,907608.333333333,929633.333333333,948499.833333333,998550,966679.666666667,927325
Bothell,47.7601,-122.2054,342307.5,329966.333333333,328458.333333333,316633.333333333,307945.666666667,299316.666666667,302996.666666667,313290,317990,325192.5,335116.666666667,350283.333333333,362966.666666667,375316.5,379250,391584.5,414300,436283.333333333,443108.333333333,455133.333333333,452341.666666667,458900.833333333,479289.166666667,479980,498296.666666667,499073.333333333,503316.666666667,544491.666666667,589747.5,578296.666666667,594250,633617.666666667,688148.333333333,668333.333333333,673323.333333333,668141.666666667
Redmond,47.674,-122.1215,481233.333333333,496596.666666667,483330,461298.333333333,439965,438735.666666667,452316.666666667,436233.166666667,426666.666666667,522995,541331.666666667,547998.333333333,577123.833333333,613132.5,605140,569158.333333333,600645,649913.333333333,629140,615032.5,597666.666666667,653465.833333333,643216.666666667,635299.166666667,678464.166666667,716475,699983.333333333,725000,677491.333333333,713333.333333333,710000,726458.333333333,756916.666666667,844916.666666667,845808.333333333,821166.666666667
Lynnwood,47.8209,-122.3151,298475,284973.333333333,270133.166666667,256316.666666667,247830,227291.666666667,221133.333333333,227966.666666667,226616.666666667,254933.333333333,258308.333333333,266483.333333333,300641.666666667,314956.666666667,306481.666666667,317359.666666667,326650,330813.333333333,339958.333333333,342483.333333333,338283.333333333,359600,369733.333333333,354324.833333333,364800,388516.666666667,397650,382333.333333333,393296.666666667,421633.333333333,426666.666666667,479316.666666667,508308.333333333,512569,498816.666666667,496300
Kirkland,47.6769,-122.206,488666.666666667,461141.666666667,457000,435975,392937.333333333,391550,375614.666666667,339916.666666667,347666.666666667,421816.666666667,464850,446649,463434,515698.166666667,511975,542833.333333333,573250,547323.333333333,539666.666666667,478283.333333333,551316.666666667,589716.666666667,577716.666666667,627500,691500,666983.333333333,675796,699598,707666.666666667,746666.666666667,710796.666666667,824933.333333333,870833.166666667,879291.666666667,821500,797916.666666667
Sammamish,47.6163,-122.0356,549466.666666667,560628,553000,545983.333333333,553291.666666667,549975,533166.666666667,531491.666666667,562166.666666667,581566.666666667,583518.333333333,568316.666666667,593633.333333333,639973.333333333,668833.333333333,724963.333333333,779298.333333333,706625,699966.666666667,755650,815960,746275,734000,763358.333333333,756433.333333333,819629.333333333,849666.666666667,907663.333333333,924998.333333333,898316.666666667,897983.333333333,1018646.66666667,1068164.16666667,1092997.5,1097831.66666667,1115330.83333333
Shoreline,47.756,-122.3457,331991.666666667,326416.666666667,319047.333333333,299800,285633.333333333,274916.666666667,269649.833333333,255333.333333333,243833.333333333,282975,297125,286333.333333333,286666.666666667,329075,337475,324625,328016.666666667,349974.666666667,355141.666666667,361558.333333333,378333.333333333,389150,402462.333333333,392958.333333333,408300,437658.333333333,444474.833333333,481666.666666667,477547.333333333,508316.666666667,548491.666666667,599823,612998.333333333,625000,623300,612991.5
