RegionName,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019
Seattle,47.6062,-122.3321,417429.166666667,438141.166666667,492101.666666667,573070.833333333,644591.666666667,709395.833333333,687750
Renton,47.4797,-122.2079,325999.5,358339.583333333,364649.875,397604,435559.916666667,512545.666666667,574316.666666667
Bellevue,47.6101,-122.2015,619695.333333333,664691.666666667,694231.25,782105.25,905258.708333333,960263.625,962000
Bothell,47.7601,-122.2054,377279.416666667,437206.25,467627.916666667,511294.583333333,598977.958333333,674486.666666667,687650
Redmond,47.674,-122.1215,591138.666666667,623682.708333333,632412.083333333,704980.625,706820.75,817202.083333333,850233.333333333
Lynnwood,47.8209,-122.3151,309859.916666667,334976.25,355485.375,383325,430228.333333333,503998.5,497666.666666667
Kirkland,47.6769,-122.206,508485.125,534630.833333333,586562.5,683469.333333333,747515.833333333,842385.375,845000
Sammamish,47.6163,-122.0356,656850.833333333,735385,764898.333333333,833348.166666667,934986.25,1093581.04166667,1137664.16666667
Shoreline,47.756,-122.3457,319460.416666667,348672.833333333,390726,443024.958333333,533544.666666667,618572.458333333,615623
